datetime,strategy,layer,optimizer,seed,n_trials,n_variants,n_signals,pair,main_tf,sub_tf,bt_per_sec,runtime_s,trades,win_rate_pct,total_pips,expectancy_pips,max_dd_pct,profit_factor,sharpe,return_pct,quality,best_variant_id,best_variant_family,run_file
2026-04-21 16:34:21,complex01,golden,random,42,500,66,19842,EUR_USD,H1,M1,14944.0,0.14,33,18.182,337.0,10.212,17.821,5.0285,1.8758,429.79,0.7135,3,ema_cross,golden_20260421_163421.npz
2026-04-21 16:34:28,baseline_v2,trade_log_parity,random,42,5,1,134,EUR_USD,H1,M1,2202.0,0.1,127,41.732,2101.6,16.548,17.841,1.5675,2.1624,4236.7,0.585,0,ema_cross,trade_log_parity_20260421_163428.npz
2026-04-21 17:31:04,complex01,golden,random,42,500,66,19842,EUR_USD,H1,M1,4802.0,0.65,33,18.182,337.0,10.212,17.821,5.0285,1.8758,429.79,0.7135,3,ema_cross,golden_20260421_173104.npz
2026-04-21 17:31:39,baseline_v2,trade_log_parity,random,42,5,1,134,EUR_USD,H1,M1,567.0,0.3,127,41.732,2101.6,16.548,17.841,1.5675,2.1624,4236.7,0.585,0,ema_cross,trade_log_parity_20260421_173139.npz
2026-04-21 17:35:07,complex01,golden,random,42,500,66,19842,EUR_USD,H1,M1,13100.0,0.23,33,18.182,337.0,10.212,17.821,5.0285,1.8758,429.79,0.7135,3,ema_cross,golden_20260421_173507.npz
2026-04-21 17:35:16,baseline_v2,trade_log_parity,random,42,5,1,134,EUR_USD,H1,M1,1193.0,0.15,127,41.732,2101.6,16.548,17.841,1.5675,2.1624,4236.7,0.585,0,ema_cross,trade_log_parity_20260421_173516.npz
2026-04-21 17:54:27,complexity_L10_EUR_USD_H1,complexity_L10_EUR_USD_H1,random,42,19000,2330,20953,EUR_USD,H1,M1,43667.0,17.5,6,83.333,175.3,29.21,0.146,687.7724,5.513,194.71,0.8162,1889,ema_cross,complexity_L10_EUR_USD_H1_20260421_175427.npz
2026-04-21 18:09:37,complexity_L10_EUR_USD_M15,complexity_L10_EUR_USD_M15,random,42,2000,4487,316809,EUR_USD,M15,M1,13127.0,1.36,10,90.0,119.8,11.985,2.777,37.0104,15.3738,278.71,1.441,3104,ema_cross,complexity_L10_EUR_USD_M15_20260421_180937.npz
2026-04-21 18:12:10,complexity_L10_EUR_USD_M15,complexity_L10_EUR_USD_M15,random,42,2000,4487,316809,EUR_USD,M15,M1,12803.0,1.25,10,90.0,119.8,11.985,2.777,37.0104,15.3738,278.71,1.441,3104,ema_cross,complexity_L10_EUR_USD_M15_20260421_181210.npz
2026-04-21 18:22:47,complexity_L10_EUR_USD_M15,complexity_L10_EUR_USD_M15,random,42,20000,4487,933396,EUR_USD,M15,M1,4117.0,15.28,9,88.889,74.7,8.296,0.062,1610.2088,4.2092,224.36,2.8849,624,ema_cross,complexity_L10_EUR_USD_M15_20260421_182244.npz
